collection_no,occurrences.genus_reso,occurrences.genus_name,original.genus_reso,original.genus_name,collections.stage,collections.ma_max,collections.ma_min
3256,,Pantrogna,,,,55.8,37.2
9070,,Treposciurus,,,Priabonian,37.2,33.9
9071,,Tarnomys,,,Priabonian,37.2,33.9
9071,,Ectropomys,,,Priabonian,37.2,33.9
9071,,Isoptychus,,,Priabonian,37.2,33.9
9071,,Gliravus,,,Priabonian,37.2,33.9
9071,,Suevosciurus,,,Priabonian,37.2,33.9
9071,,Treposciurus,,,Priabonian,37.2,33.9
9074,,Thalerimys,,,Priabonian,37.2,33.9
9074,,Tarnomys,,,Priabonian,37.2,33.9
9074,,Ectropomys,,,Priabonian,37.2,33.9
9074,,Isoptychus,,,Priabonian,37.2,33.9
9074,,Gliravus,,,Priabonian,37.2,33.9
9074,,Suevosciurus,,,Priabonian,37.2,33.9
11796,,Ellobius,,,Piacenzian,3.6,1.81
11796,,Villanyia,,,Piacenzian,3.6,1.81
11796,,Mimomys,,,Piacenzian,3.6,1.81
11797,,Sivacanthion,,,,13.7,11.1
11797,,Kanisamys,,,,13.7,11.1
11798,cf.,Callosciurus,,,,9,5.3
11798,cf.,Tamiops,,,,9,5.3
11798,cf.,Dremomys,,,,9,5.3
11798,,Albanensia,,,,9,5.3
11798,,Sciurotamias,,,,9,5.3
11798,?,Forsythia,,,,9,5.3
11798,cf.,Hylopetes,,,,9,5.3
11798,cf.,Monosaulax,,,,9,5.3
11798,,Platacanthomys,,,,9,5.3
11798,,Leptodontomys,,,,9,5.3
11798,,Brachyrhizomys,,,,9,5.3
11798,cf.,Brachyrhizomys,,,,9,5.3
11798,,Brachyrhizomys,,,,9,5.3
11798,,Neocricetodon,,Kowalskia,,9,5.3
11798,?,Mus,,,,9,5.3
11798,,Parapodemus,,,,9,5.3
11798,,Parapelomys,,,,0.126,0.011
11798,,Hystrix,,,,0.126,0.011
11798,,Neocricetodon,cf.,Kowalskia,,0.126,0.011
11803,,Hystrix,,,,0.126,0.011
11803,,Myomimus,,Philistomys,,0.126,0.011
11803,,Ellobius,,,,40.4,37.2
11803,,Microtus,,,,40.4,37.2
11803,,Microtus,,,,40.4,37.2
12840,,Plesiarctomys,,,Bartonian,40.4,37.2
12840,,Suevosciurus,,,Bartonian,37.2,33.9
12840,,Sciuroides,,,Bartonian,37.2,33.9
12840,,Remys,,,Bartonian,37.2,33.9
12840,?,Remys,,,Bartonian,37.2,33.9
12841,,Gliravus,,,Priabonian,37.2,33.9
12841,,Suevosciurus,,,Priabonian,37.2,33.9
12841,,Theridomys,,Paradelomys,Priabonian,37.2,33.9
12841,,Pseudoltinomys,,,Priabonian,37.2,33.9
12841,,Theridomys,,,Priabonian,37.2,33.9
12843,,Glamys,,Gliravus,Priabonian,37.2,33.9
12843,,Sciuroides,,,Priabonian,37.2,33.9
12843,,Theridomys,,Paradelomys,Priabonian,40.4,37.2
12843,,Pseudoltinomys,,,Priabonian,40.4,37.2
12843,,Theridomys,,,Priabonian,37.2,33.9
12843,,Patriotheridomys,,,Priabonian,37.2,33.9
12847,,Gliravus,,,Bartonian,37.2,33.9
12847,,Theridomys,,,Bartonian,37.2,33.9
12849,,Gliravus,,,Priabonian,37.2,33.9
12849,,Glamys,,Gliravus,Priabonian,37.2,33.9
12849,,Gliravus,,,Priabonian,37.2,33.9
12849,,Suevosciurus,,,Priabonian,37.2,33.9
12849,,Suevosciurus,,,Priabonian,37.2,33.9
12849,,Sciuroides,,,Priabonian,37.2,33.9
12849,,Theridomys,,Paradelomys,Priabonian,37.2,33.9
12849,,Remys,,,Priabonian,37.2,33.9
12849,,Elfomys,,,Priabonian,37.2,33.9
12849,,Pseudoltinomys,,,Priabonian,37.2,33.9
12849,,Theridomys,,,Priabonian,37.2,33.9
12850,,Glamys,,Gliravus,Priabonian,37.2,33.9
12850,,Gliravus,,,Priabonian,37.2,33.9
12850,,Suevosciurus,,,Priabonian,37.2,33.9
12850,,Sciuroides,,,Priabonian,37.2,33.9
12850,,Elfomys,,,Priabonian,37.2,33.9
12850,,Pseudoltinomys,,,Priabonian,37.2,33.9
12850,,Theridomys,,,Priabonian,37.2,33.9
12851,,Theridomys,,,Priabonian,37.2,33.9
12851,,Pseudoltinomys,,,Priabonian,37.2,33.9
12851,,Theridomys,,Paradelomys,Priabonian,37.2,33.9
12851,,Microsuevosciurus,,,Priabonian,33.9,28.4
12851,,Elfomys,,,Priabonian,11.61,5.33
12852,,Pseudoltinomys,,,Priabonian,11.61,5.33
12852,,Blainvillimys,,,Priabonian,23.03,15.97
12852,,Patriotheridomys,,,Priabonian,23.03,15.97
12854,,Pseudoltinomys,,,Priabonian,0.3,0.3
12954,,Metaphiomys,,,Rupelian,0.3,0.3
12971,,Neoreomys,,,,0.3,0.3
12971,,Scleromys,,,,0.3,0.3
13060,,Rhizomyoides,,,,0.3,0.3
13060,,Kanisamys,,,,0.3,0.3
13065,,Potwarmus,,,,0.3,0.3
13065,,Sayimys,,,,0.3,0.3
13066,n. gen.,Tamias,,,,0.3,0.3
13066,,Marmota,,,,0.3,0.3
13066,,Castor,,,,0.3,0.3
13066,,Oryzomys,,,,0.3,0.3
13066,,Peromyscus,,,,29,21
13066,,Peromyscus,,,,0.781,0.011
13066,,Peromyscus,,,,0.781,0.011
13066,,Sigmodon,,,,0.781,0.011
13066,,Neotoma,,,,0.781,0.011
13066,,Microtus,,Pitymys,,48.6,40.4
13066,,Neofiber,,,,0.126,0
13066,,Ondatra,,,,23.03,11.61
13066,,Synaptomys,,,,23.03,11.61
13066,,Zapus,,,,23.03,11.61
13276,cf.,Scotamys,,,,23.03,11.61
13293,,Hystrix,,,,23.03,11.61
13293,,Rattus,,,,23.03,11.61
13293,,Mus,,,,23.03,11.61
13293,,Eothenomys,,,,23.03,11.61
13322,,Ailuravus,,,Lutetian,23.03,11.61
13456,,Hystrix,,,,15.97,5.33
13482,,Ansomys,,,,15.97,5.33
13482,,Eutamias,,,,15.97,5.33
13482,,Youngofiber,,,,15.97,5.33
13482,,Microdyromys,,,,15.97,5.33
13482,,Sayimys,,,,15.97,5.33
13482,,Diatomys,,,,15.97,5.33
13482,,Cricetodon,,,,15.97,5.33
13482,,Democricetodon,,,,15.97,5.33
13482,?,Spanocricetodon,,,,15.97,5.33
13483,,Atlantoxerus,,,,15.97,5.33
13483,,Sciurus,,,,15.97,5.33
13483,,Spermophilinus,,,,15.97,5.33
13483,,Anchitheriomys,,Amblycastor,,15.97,5.33
13483,,Monosaulax,,,,15.97,11.61
13483,cf.,Microdyromys,,,,15.97,11.61
13483,,Keramidomys,,,,15.97,11.61
13483,,Leptodontomys,,,,15.97,11.61
13483,,Paralactaga,,,,15.97,11.61
13483,,Paralactaga,,,,15.97,11.61
13483,,Plesiodipus,,,,15.97,11.61
13483,,Cricetodon,,,,15.97,11.61
13483,,Megacricetodon,,,,15.97,11.61
13483,,Democricetodon,,,,15.97,11.61
13483,,Eumyarion,,,,15.97,11.61
13484,,Sciurus,,,,5.33,1.81
13484,,Tamias,,,,5.33,1.81
13484,,Miopetaurista,,,,5.33,1.81
13484,,Monosaulax,,,,5.33,1.81
13484,,Sinocastor,,,,5.33,1.81
13484,,Keramidomys,,,,5.33,1.81
13484,,Plesiosminthus,,,,5.33,1.81
13484,,Cricetodon,,,,5.33,1.81
13484,,Democricetodon,,,,5.33,1.81
13484,cf.,Plesiodipus,,,,5.33,1.81
13484,,Prosiphneus,,,,5.33,1.81
13485,,Spermophilinus,,,,5.33,1.81
